Sentence,Label,ID
"7.3 skype and/or its licensors retain exclusive ownership of the software, products and skype websites and all intellectual property therein (whether or not registered and anywhere in the world).",not potentially unfair,21
"This website may contain discussion forums, bulletin boards, review services or other forums in which you or third parties may post reviews of travel experiences or other content, messages, materials or other items on this website (``interactive areas'').",not potentially unfair,22
"• attempt to probe, scan, or test the vulnerability of any academia.edu system or network or breach any security or authentication measures ; ",not potentially unfair,23
"Except for any claim relating to your or our intellectual property (such as trademarks, trade dress, domain names, trade secrets, copyrights and patents) (``excluded disputes''), you and onavo agree to resolve through final and binding arbitration any claim between you and onavo, including its affiliates, officers, directors, employees and agents and its affiliates' officers, directors, employees and agents (whether or not such dispute also involves a third party), regarding any aspect of your relationship with us, including these terms, your use of any of onavo's services, your rights of privacy and/or publicity, or any contacts you may have with us, directly or indirectly, for any reason (``dispute'').",potentially unfair,24
"You may not use the services (other than certain commercial tools) to sell a product or service, increase traffic to your own website or a third-party website for commercial reasons, such as advertising sales, or otherwise undertake any endeavor aimed at deriving revenue.",not potentially unfair,25
Currency quotes may not be updated on a daily basis.,not potentially unfair,26
2.4 you grant certain content licenses to other users by submitting your content to publicly accessible areas of the service.,not potentially unfair,27
"In no event shall linden lab or any of its directors, officers, employees, shareholders, subsidiaries, agents or licensors be responsible or liable to you or to any third party for any loss or damages of any kind, including for any direct, indirect, economic, exemplary, incidental, consequential, reliance, special, or punitive losses or damages or disgorgement or comparable equitable remedy, for lost data or lost profits, arising (whether in contract, tort, strict liability or otherwise) out of or in connection with the service (including its modification or termination), the software, the websites, the servers, your account (including its termination or suspension) or this agreement, whether or not linden lab may have been advised that any such damages might or could occur and notwithstanding the failure of essential purpose of any remedy.",potentially unfair,28
20.1 this section applies if you select a third-party payment system that enables you to pay for skype credit and certain paid for products via your mobile phone bill where applicable (``pay by mobile'').,not potentially unfair,29
"These terms, and any other policies or rules we reference in these terms, make up the entire agreement between you and us relating to the subject matter of these terms, and supersede all prior understandings of the parties relating to the subject matter of these terms, whether those prior understandings were electronic, oral or written, or whether established by custom, practice, policy or precedent, between you and us.",not potentially unfair,30
"Notwithstanding any provision in the user agreement to the contrary, you and we agree that if we make any amendment to this agreement to arbitrate (other than an amendment to any notice address or site link provided herein) in the future, that amendment shall not apply to any claim that was filed in a legal proceeding against ebay prior to the effective date of the amendment.",not potentially unfair,31
We can each end this contract anytime we want.,potentially unfair,32
Your user content will be processed by zynga in accordance with its privacy policy.,not potentially unfair,33
"Take any action that damages or adversely affects, or could damage or adversely affect the performance or proper functioning of the airbnb platform ; ",not potentially unfair,34
"Verified images (as defined below) are intended only to indicate a photographic representation of a listing at the time the photograph was taken, and are therefore not an endorsement by airbnb of any host or listing.",not potentially unfair,35
You acknowledge and agree that posting any such user content may result in immediate termination or suspension of your spotify account.,potentially unfair,36
We may revise these terms from time to time.,potentially unfair,37
Software development kits provided through skype developer on the skype website (including ``skypekit'') and the use of any application program interface (``api'') exposed or made available by skype are subject to their own licensing terms in which case such licensing terms will govern your use of that software.,not potentially unfair,38
"Depending on the third party accounts you choose and subject to the privacy settings that you have set in such third party accounts, personally identifiable information that you post to your third party accounts will be available on and through your account on the site and services.",not potentially unfair,39
"Any attempt by you to assign or transfer these terms, without such consent, will be null and of no effect.",not potentially unfair,40
"The services are provided by google inc. (``google''), located at 1600 amphitheatre parkway, mountain view, ca 94043, united states.",not potentially unfair,41
"Tinder does not represent or warrant that (a) the service will be uninterrupted, secure or error free, (b) any defects or errors in the service will be corrected, or (c) that any content or information you obtain on or through the services will be accurate.",potentially unfair,42
"For notices made to members residing outside of germany, the date of receipt will be deemed the date on which airbnb transmits the notice.",not potentially unfair,43
Special provisions applicable to developers/operators of applications and websites ,not potentially unfair,44
You will not solicit login information or access an account belonging to someone else.,not potentially unfair,45
"You may be able to access certain third-party links, applications or content (``third-party applications'') via accounts related to our services.",not potentially unfair,46
Use of the fitbit service should not replace your good judgment and common sense.,not potentially unfair,47
"Except as expressly agreed by the company and you, this eula constitutes the entire agreement between you and the company with respect to the subject matter hereof, and supersedes all previous or contemporaneous agreements, whether written or oral, between the parties with respect to the subject matter herein.",not potentially unfair,48
"You agree that all of yahoo's trademarks, trade names, service marks and other yahoo logos and brand features, and product and service names are trademarks and the property of yahoo holdings, inc. (the ``yahoo marks'').",not potentially unfair,49
